vin,vehicle_mileage,vehicle_description,model_name,model_year,type_name,manufacturer_name,sale_price
SGEAZM7OHRE981138,39759,great engine; ,Q5,2011,SUV,Audi,2799.5565
38ZSAKVC20U930606,137449,best sedan; ,V12 VANTAGE,2019,Minivan,Aston Martin,2406.2599999999998
VROU7UEWYWK097688,19743,anti-lock brake system (ABS); ,ESCALADE EXT,2008,Minivan,Cadillac,3891.4509999999996
2CEDOZQS3WI014174,11800,check the Monroney sticker - there is nothing better than this vehicle; ,MP4-12C,2016,Minivan,McLaren,15798.514000000003
N5VAEVB47M5598208,1519,anti-lock brake system (ABS); ,ROADSTER,2009,Minivan,Tesla,5633.0125
FRCY3VYNL42885570,67992,superturbocharger; ,GRANSPORT,2007,Convertible,Maserati,6548.787499999999
BMMT70O7FLR864961,41550,sturdy side impact beams; ,GALLARDO,2013,Sedan,Lamborghini,2428.825
GB5EB3AIUD0242483,42293,automatic torque converter; high block; ,760LI,2014,Coupe,BMW,2660.7374999999997
H7PM7E5LCY5894305,33935,unibody construction; ,TT QUATTRO,2002,Convertible,Audi,1639.3954999999999
RZ64Q4VF3EC682670,143278,Comes with a roof rack,HIACE,2011,Convertible,Toyota,6374.7525000000005
WJENS213H4U188325,6605,small spark plug gap; ,CAVALIER,2001,Sedan,Chevrolet,2411.051
ZIYO5EKWDKS246902,11515,original equipment manufacturer (OEM) parts; ,V60,2018,Van,Volvo,12166.445500000003
XK51E6IAGWW949280,17770,no backfire/backfiring; ,SOUL,2010,SUV,Kia,2628.4140000000007
8HJHTFE0FGU264640,28290,innovative air bags; ,MT45,2006,Minivan,Freightliner,3137.161
YSPKFT8VKW8617087,93559,engine displacement; ,S2000,2001,Convertible,Honda,3904.304
L2G40AKW0DV261314,4388,wide chassis; drum brake; ,SONATA,2003,Coupe,Hyundai,6120.373
QNGJBXZ0ZPN690169,68300,sturdy rear axle assembly; moonroof,GENESIS,2016,Van,Hyundai,4077.5860000000002
IB3FDW7VPTE357125,55068,disc brake; crankcase; ,CALIFORNIA,2011,Van,Ferrari,2710.2445000000007
C1OCSTQ1VP0823459,104976,original equipment manufacturer (OEM) parts; drum brake; convertible; ,XFR-S,2017,Minivan,Jaguar,5295.220999999999
