vin,start_date,end_date,repair_status,repair_description,vendor_name,repair_cost,NHTSA_recall_compaign_number,inventory_clerk_permission
05AJ273ZM02946325,2019-03-26 00:00:00,2019-04-22 00:00:00,completed,change memory settings of the onboard computer; replace diverter valve; ,Rundofase,988.45,NULL,
05AJ273ZM02946325,2019-05-12 00:00:00,2019-06-03 00:00:00,pending,repair direct injection system; configure audio remote control; ,Zoomit,798.36,NULL,
05AJ273ZM02946325,2019-06-07 00:00:00,2019-06-11 00:00:00,pending,install on-board diagnosis system; install curtain airbags; ,Cancity,38.02,NULL,
05AJ273ZM02946325,2019-06-21 00:00:00,2019-07-06 00:00:00,in progress,install anti-theft alarm; adjust climate control; ,Fasehatice,114.05,NULL,
05AJ273ZM02946325,2019-09-03 00:00:00,2019-09-13 00:00:00,pending,fix a-pillar; check drive axle boots; ,Rundofase,266.12,NULL,
05WXEVLB5X8956206,2019-04-15 00:00:00,2019-04-18 00:00:00,in progress,fix solar sunroof; repair shiftable automatic transmission; ,Toughzap,142.54,11V536000,
0HJ3WSLKGZT340626,2019-03-26 00:00:00,2019-03-28 00:00:00,in progress,install parking sensors; fix nvh dampening system; ,Fasehatice,46.86,NULL,
0HJ3WSLKGZT340626,2019-03-30 00:00:00,2019-03-31 00:00:00,pending,install anti-theft alarm; install parking sensors; ,Zumgoity,23.43,10V553000,
0HJ3WSLKGZT340626,2019-04-03 00:00:00,2019-04-08 00:00:00,in progress,fix power activated release; install separate rear audio; ,Zoomit,70.29,NULL,
0KQT4QWDSFO183874,2019-06-26 00:00:00,2019-06-26 00:00:00,completed,improve cylinder configuration; fix solar sunroof; ,Zumgoity,46.83,16V812000,
0OZ6776OUA0065975,2019-06-18 00:00:00,2019-06-18 00:00:00,pending,reduce fuel consumption; adjust ignition timing; ,Toughzap,49.36,NULL,
0OZ6776OUA0065975,2019-06-19 00:00:00,2019-06-19 00:00:00,completed,install roof spoiler; configure audio remote control; ,Toughzap,49.36,NULL,
0XHRC15HS5V123753,2019-04-27 00:00:00,2019-04-28 00:00:00,completed,repair seatbelt force limiters; adjust ignition timing; ,Rundofase,59.2,NULL,
0XHRC15HS5V123753,2019-05-19 00:00:00,2019-06-22 00:00:00,completed,install vanity mirrors; install anti-theft alarm; ,Newex,1006.45,NULL,
0XHRC15HS5V123753,2019-06-29 00:00:00,2019-07-16 00:00:00,in progress,change pcv filter/pcv valve; fix rear defroster; ,Zumgoity,118.41,NULL,
0XHRC15HS5V123753,2019-07-28 00:00:00,2019-08-13 00:00:00,pending,correct abs; install turbocharger; ,Cancity,59.2,NULL,
0XHRC15HS5V123753,2019-08-15 00:00:00,2019-08-20 00:00:00,in progress,replace liftgate window; ,Rundofase,177.61,19V256000,
0XHRC15HS5V123753,2019-08-25 00:00:00,2019-08-27 00:00:00,completed,fix steering damper; ,Fasehatice,29.6,NULL,
0XHRC15HS5V123753,2019-09-04 00:00:00,2019-09-22 00:00:00,in progress,make polarization coating; repair cooled seats; ,Rundofase,562.43,NULL,
0XJA8OD4GS2220202,2019-06-15 00:00:00,2019-06-16 00:00:00,completed,attach spoiler; replace radiator hoses; ,Cancity,34.84,NULL,
0XJA8OD4GS2220202,2019-06-19 00:00:00,2019-07-12 00:00:00,completed,install intelligent alternator; remove oversteer; ,Rundofase,330.98,NULL,
0XJA8OD4GS2220202,2019-07-24 00:00:00,2019-08-04 00:00:00,completed,improve engine performance; add knee airbags; ,Zoomit,139.36,NULL,
0XJA8OD4GS2220202,2019-08-14 00:00:00,2019-09-09 00:00:00,pending,replace radiator hoses; replace steering column lock; ,Zoomit,452.92,NULL,
0XJA8OD4GS2220202,2019-09-17 00:00:00,2019-09-19 00:00:00,pending,replace diverter valve; adjust reverse tilt mirrors; ,Zumgoity,34.84,NULL,
0Y8HTOZ7K6L112375,2019-05-07 00:00:00,2019-05-07 00:00:00,completed,add heated windshield; configure audio remote control; ,Newex,43.24,NULL,
0Y8HTOZ7K6L112375,2019-05-10 00:00:00,2019-05-10 00:00:00,completed,fix steering damper; check drive axle boots; ,Zencorporation,43.24,NULL,
0Y8HTOZ7K6L112375,2019-05-11 00:00:00,2019-05-13 00:00:00,in progress,fix deceleration system; reduce fuel consumption; ,Zumgoity,86.47,NULL,
1D377TZAWSW801985,2019-02-03 00:00:00,2019-02-16 00:00:00,pending,add knee airbags; adjust climate control; ,Toughzap,381.69,NULL,
1D377TZAWSW801985,2019-02-26 00:00:00,2019-04-19 00:00:00,completed,configure universal remote control; adjust adaptive cruise control; ,Zoomit,31.81,NULL,
1D377TZAWSW801985,2019-04-23 00:00:00,2019-05-17 00:00:00,in progress,configure universal remote control; ,Cancity,381.69,NULL,
1D377TZAWSW801985,2019-06-11 00:00:00,2019-06-29 00:00:00,completed,fix rear defroster; improve cylinder configuration; ,Zoomit,572.54,NULL,
1D377TZAWSW801985,2019-09-08 00:00:00,2019-09-23 00:00:00,completed,change speaker configuration; prevent fuel pump shutoff; ,Newex,286.27,NULL,
1D75678DO43448008,2019-05-30 00:00:00,2019-06-02 00:00:00,pending,replace crankcase ventilation filter; replace tail lights; ,Newex,177.74,NULL,
1EW5SWZMNBU661507,2019-02-15 00:00:00,2019-02-17 00:00:00,in progress,repair cooled seats; set up auto-delay headlights; ,Zencorporation,25.78,04V133000,
1J1RMS1AO48718511,2019-05-27 00:00:00,2019-05-28 00:00:00,pending,fix air filter restriction indicator; install on-board diagnosis system; ,Zencorporation,28.85,NULL,
1J1RMS1AO48718511,2019-05-31 00:00:00,2019-06-03 00:00:00,in progress,replace radiator hoses; change purge valve; ,Fasehatice,57.7,NULL,
1J1RMS1AO48718511,2019-06-05 00:00:00,2019-06-09 00:00:00,completed,reduce fuel consumption; ,Rundofase,72.12,NULL,
1J1RMS1AO48718511,2019-06-11 00:00:00,2019-06-12 00:00:00,completed,configure audio remote control; change coolant; ,Zoomit,14.42,NULL,
1J1RMS1AO48718511,2019-06-14 00:00:00,2019-06-15 00:00:00,pending,configure audio remote control; correct abs; ,Cancity,14.42,14V422000,
1J1RMS1AO48718511,2019-06-18 00:00:00,2019-06-20 00:00:00,pending,change air conditioner refrigerant; replace liftgate window; ,Rundofase,43.27,NULL,
1J1RMS1AO48718511,2019-06-21 00:00:00,2019-06-22 00:00:00,in progress,change brake linings; add knee airbags; ,Rundofase,28.85,07V533000,
1J1RMS1AO48718511,2019-06-25 00:00:00,2019-06-25 00:00:00,pending,attach seat extension; install optional equipment; ,Zumgoity,14.42,NULL,
1MF8O5K3V5X143850,2019-06-03 00:00:00,2019-06-04 00:00:00,pending,replace water pump; repair cooled seats; ,Zumgoity,30.71,NULL,
1MF8O5K3V5X143850,2019-06-05 00:00:00,2019-06-06 00:00:00,pending,change pcv filter/pcv valve; fix sunroof; ,Fasehatice,30.71,18V432000,
1MF8O5K3V5X143850,2019-06-07 00:00:00,2019-06-12 00:00:00,in progress,replace fuel filter; install smoked glass; ,Rundofase,30.71,NULL,
1MF8O5K3V5X143850,2019-06-15 00:00:00,2019-06-15 00:00:00,in progress,replace tail lights; replace steering column lock; ,Rundofase,30.71,NULL,
1NVXI5JXG3Q330243,2019-06-11 00:00:00,2019-06-11 00:00:00,completed,install optional equipment; install vanity mirrors; ,Zumgoity,114.87,NULL,
1NVXI5JXG3Q330243,2019-06-14 00:00:00,2019-06-15 00:00:00,pending,adjust block heater; attach spoiler; ,Zoomit,114.87,NULL,
1NVXI5JXG3Q330243,2019-06-17 00:00:00,2019-06-19 00:00:00,completed,adjust turn signals; adjust turn signals; ,Zoomit,229.74,16V842000,
1RQR2NON75E373495,2019-02-27 00:00:00,2019-03-05 00:00:00,pending,change steering rack; fix external temperature display; ,Rundofase,65.17,NULL,
1U4MXLVV84A726331,2019-04-12 00:00:00,2019-04-17 00:00:00,in progress,fix ventilated seats; ,Newex,83.39,13V314000,
1U4MXLVV84A726331,2019-04-22 00:00:00,2019-04-22 00:00:00,pending,fix power activated release; ,Newex,20.85,NULL,
1U4MXLVV84A726331,2019-04-29 00:00:00,2019-05-03 00:00:00,completed,change purge valve; install roof spoiler; ,Rundofase,62.54,12V477000,
1U4MXLVV84A726331,2019-05-04 00:00:00,2019-05-05 00:00:00,completed,change oil filter; fix cylinder head bolts; ,Cancity,41.7,NULL,
1U4MXLVV84A726331,2019-05-06 00:00:00,2019-05-10 00:00:00,in progress,adjust low fuel warning indicator; install curtain airbags; ,Rundofase,41.7,11V510000,
1WU1KQALZ75403546,2019-03-06 00:00:00,2019-04-25 00:00:00,pending,attach seat extension; replace radiator core & ac condenser; ,Zencorporation,216.42,NULL,
